# Temperature (K) 	 M/H in emu (multiply by field in Oe)
5.867674636840820312e+01	1.977547758387353426e-12
5.883720779418950286e+01	1.513777366880292454e-12
5.899802207946779475e+01	1.597680159123432793e-12
5.916679573059079900e+01	2.209763146526399075e-12
5.933631324768069959e+01	1.651202993514466968e-12
5.950130653381349788e+01	1.618851575964358717e-12
5.967308425903320312e+01	1.419321130984536518e-12
5.984294319152829900e+01	1.777278329574824481e-12
6.000525093078610439e+01	2.137125590132132007e-12
6.017034149169919743e+01	1.770511246610105010e-12
6.034272956848139557e+01	1.723174512917125208e-12
6.049164390563970528e+01	2.022023139345144794e-12
6.065197563171389561e+01	1.846371521251673877e-12
6.081709098815920100e+01	1.758045574104137584e-12
6.097830963134770599e+01	1.855666165559835713e-12
6.114119911193849788e+01	2.180487203551130526e-12
6.131025695800779118e+01	1.900528972841314263e-12
6.148465538024900212e+01	1.624906113681533162e-12
6.165135383605959873e+01	1.635237323023215524e-12
6.181849288940429688e+01	1.631980046713646472e-12
6.198563385009770599e+01	1.761920101937176908e-12
6.214812469482419743e+01	1.697872264496170397e-12
6.230477523803710227e+01	1.624504784208513574e-12
6.247541809082029118e+01	1.882429144179460418e-12
6.264818572998049717e+01	1.615438899416599573e-12
6.280839157104490056e+01	1.283105288667976277e-12
6.297930526733400569e+01	1.195020534873987311e-12
6.313805770874020595e+01	1.563630913940626716e-12
6.330016326904299717e+01	1.699448374108716792e-12
6.344729614257810368e+01	1.487380776898997783e-12
6.361938476562500000e+01	1.770299872255004942e-12
6.379540634155270595e+01	1.040050445183291804e-12
6.395723724365229401e+01	1.970917441579165240e-12
6.411294937133790484e+01	2.145072558951905023e-12
6.427120590209959516e+01	1.249958108386491780e-12
6.443138122558589487e+01	1.037023139852791611e-12
6.460247039794920454e+01	1.863818881528960996e-12
6.477023315429688921e+01	1.453769766398100187e-12
6.493035507202149859e+01	1.267482996163150075e-12
6.509828948974610796e+01	9.476107506410811982e-13
6.526705551147459516e+01	1.520462364426642503e-12
6.543938064575189628e+01	1.333184168623717191e-12
6.560909652709959516e+01	1.026827938364794509e-12
6.576980972290040484e+01	1.918090420582062076e-12
6.594005966186520595e+01	1.652298041575021495e-12
6.611275100708009234e+01	1.667373337287809090e-12
6.627116775512699576e+01	1.324395248853137684e-12
6.643460845947269888e+01	1.607616205535560309e-12
6.657814788818360796e+01	1.449131408854712898e-12
6.673786163330079546e+01	1.027741981460966754e-12
6.690293502807620030e+01	9.963226509685821043e-13
6.707269668579100141e+01	1.432060592592244005e-12
6.724127960205079546e+01	1.098394057118449218e-12
6.740345382690429688e+01	1.287204826248968778e-12
6.756648635864259234e+01	1.204741758738946051e-12
6.773217773437500000e+01	1.425446705203942335e-12
6.790388107299800424e+01	8.829057007414271285e-13
6.807458496093750000e+01	1.225698988345118819e-12
6.823654556274409799e+01	1.291594784219781444e-12
6.841292953491209516e+01	1.282816393294601650e-12
6.858398056030270595e+01	1.212334207457519258e-12
6.874620437622070312e+01	1.597280182121133811e-12
6.890915679931639204e+01	1.212211133666374493e-12
6.907312774658200283e+01	1.075113719062513295e-12
6.922723007202149859e+01	1.354370982402910216e-12
6.939324188232420454e+01	1.312994034387348991e-12
6.954225540161129970e+01	1.373223855220431641e-12
6.970648574829100141e+01	1.284713788282838856e-12
6.987171554565429688e+01	1.471172865279811047e-12
7.003609848022459516e+01	1.111618641066278830e-12
7.019826126098629970e+01	1.285400877771491519e-12
7.037073516845700283e+01	1.185926794225827714e-12
7.053709030151370030e+01	7.255744152703041370e-13
7.070155334472659092e+01	1.248866463737504895e-12
7.085754776000979405e+01	1.330087794119521713e-12
7.102324295043941049e+01	1.554361691741399709e-12
7.118676757812500000e+01	1.343134246298935226e-12
7.135306930541990766e+01	1.271395707527384728e-12
7.152721023559570312e+01	9.959436216603779995e-13
7.168838119506840201e+01	5.265017178997289222e-13
7.185602188110350141e+01	1.055551696104825734e-12
7.203114700317379970e+01	1.057023592748672350e-12
7.219687652587890625e+01	1.243942509358329345e-12
7.235543441772459516e+01	1.070390518462794998e-12
7.251504135131840201e+01	1.043266907036419842e-12
7.267741012573240766e+01	8.065540993449220035e-13
7.284846115112300424e+01	1.419576447645835158e-12
7.301010894775390625e+01	5.681361700292467829e-13
7.317248916625979405e+01	9.366332148531742059e-13
7.333711242675779829e+01	1.081092004096568296e-12
7.350534439086909799e+01	1.133044450234552688e-12
7.367662429809570312e+01	1.099969819720389188e-12
7.385134124755859375e+01	1.230296224337656491e-12
7.400014495849609375e+01	1.156240507240867678e-12
7.416748809814450283e+01	7.205099070417460136e-13
7.432670593261720171e+01	1.179317580008222252e-12
7.449345779418949576e+01	7.309610265999958430e-13
7.466267776489259234e+01	7.863607911628630312e-13
7.483343887329100141e+01	1.350628910350909694e-12
7.500077056884769888e+01	1.128624934064725494e-12
7.516947555541990766e+01	1.026044465278410103e-12
