#  temperature dependence of magnetization of quartz holder at 2T
#   temperature (K) 	 M/H (emu)
1.808354949951169885e+02	2.591505062979780116e-10
1.813330688476559942e+02	4.792680973061889291e-09
1.818170089721679972e+02	-9.814582948676879059e-09
1.823173446655270027e+02	-1.482795368371049991e-08
1.828215942382809942e+02	-1.307591197043949892e-08
1.833269042968750000e+02	-2.926411601987710093e-08
1.838307037353519888e+02	-1.869093300882629861e-08
1.843366546630860228e+02	8.580556994199541813e-09
1.848316116333010086e+02	-1.857528512537730145e-08
1.853263397216800001e+02	-1.041048482272700125e-09
1.858309707641600141e+02	-6.096297511310629632e-09
1.863190536499020027e+02	-2.003697129032679951e-08
1.868156356811520027e+02	-3.151832019332930209e-08
1.873188858032229973e+02	-2.009884189146199829e-08
1.878167114257809942e+02	-2.539741807367049863e-08
1.883069381713869745e+02	-3.142427668249140335e-08
1.887972793579100141e+02	-1.083564208153029963e-08
1.893196105957030113e+02	-1.572686597193050217e-08
1.898045043945309942e+02	1.025088173095509926e-08
1.903001556396480112e+02	2.123622532579779765e-08
1.907904510498050001e+02	1.110069954427249949e-08
1.912900238037110228e+02	-1.297314150892310198e-10
1.917847442626949999e+02	-5.639275871637479293e-09
1.922840728759769888e+02	-1.515045905624719713e-08
1.927912445068360228e+02	-7.611278217072220832e-09
1.932917022705080115e+02	1.155527888416389796e-08
1.937843704223630255e+02	-3.918150303734830327e-09
1.942691497802730112e+02	-2.102925609257420093e-08
1.947679367065429972e+02	-2.461540742957200126e-08
1.952752304077149859e+02	-8.157785191261070437e-09
1.957989807128909945e+02	-6.557425956030820694e-08
1.962950363159179972e+02	-1.427975606421429843e-08
1.967966842651369745e+02	-1.069838074018089862e-08
1.973029861450199860e+02	1.278114726230730085e-09
1.977851409912110228e+02	2.072088707934069963e-09
1.982727355957030113e+02	-8.026704327650769897e-09
1.987607421875000000e+02	8.649086140816149881e-09
1.992763366699219887e+02	-1.946325407343780141e-08
1.997763900756840201e+02	-1.138186597722199951e-08
2.002604217529300001e+02	-2.989877785896769472e-08
2.007520446777340055e+02	-4.311350599101599748e-09
2.012536926269530113e+02	3.773085146509259714e-09
2.017540130615230112e+02	7.352769730830900724e-09
2.022638473510739914e+02	-1.431648931311280067e-08
2.027509307861330115e+02	3.560176939950210081e-11
2.032692031860350141e+02	-3.835679000934760068e-08
2.037687759399409799e+02	2.249099075684480101e-09
2.042597351074219887e+02	-1.332864957577379949e-08
2.047584915161130255e+02	-1.431653039891120130e-08
2.052546997070309942e+02	-1.028127794195870063e-08
2.057475204467770027e+02	-1.750918624074080042e-08
2.062604064941409945e+02	-1.864256760261000105e-08
2.067419891357419885e+02	1.508221237077360183e-08
2.072516937255860228e+02	-1.248086581701219977e-08
2.077522048950199860e+02	-1.348622388049519964e-08
2.082603530883789915e+02	-1.828252653605479974e-08
2.087523269653320028e+02	-1.564443130673250027e-08
2.092393341064449999e+02	-1.030919195757869893e-08
2.097416839599610228e+02	-1.732973773266379846e-08
